,idx,word,topic,topic_id,adj,aux,adv,conj,int,n,num,pfx,pron,prep,pres,rel,sfx,v,vn,vi,vt
224,1D6,engine,tools and implements,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
225,1D7,nail,tools and implements,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
226,1D8,needle,tools and implements,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
227,1D9,net,tools and implements,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
228,1DA,oven,tools and implements,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
229,1DB,parcel,tools and implements,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
230,1E0,pen,tools and implements,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
231,1E1,pencil,tools and implements,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
232,1E2,cushion,tools and implements,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
233,1E3,pipe,tools and implements,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
234,1E4,plate,tools and implements,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
235,1E5,plough,tools and implements,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
236,1E6,pocket,tools and implements,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
237,1E7,stick,tools and implements,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
238,1E9,pot (deep round vessel),tools and implements,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
239,1EB,pump,tools and implements,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
240,1EE,rail,tools and implements,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
241,1F3,bag,tools and implements,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
242,1F4,sail,tools and implements,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
243,1F6,scale,tools and implements,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
244,1F7,scissors,tools and implements,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
